114,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.2 乘法公式->14.2.1 平方差公式","14.2.1 平方差公式"
115,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.2 乘法公式->14.2.2 完全平方公式","14.2.2 完全平方公式"
117,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.3 因式分解->14.3.1 提取公因式","14.3.1 提取公因式"
118,"人教版-初中->八年级上->第十四章 整式的乘法与因式分解->14.3 因式分解->14.3.2 公式法","14.3.2 公式法"
121,"人教版-初中->八年级上->第十五章 分式->15.1 分式->15.1.1 从分数到分式","15.1.1 从分数到分式"
122,"人教版-初中->八年级上->第十五章 分式->15.1 分式->15.1.2 分式的基本性质","15.1.2 分式的基本性质"
124,"人教版-初中->八年级上->第十五章 分式->15.2 分式的运算->15.2.1 分式的乘除","15.2.1 分式的乘除"
125,"人教版-初中->八年级上->第十五章 分式->15.2 分式的运算->15.2.2 分式的加减","15.2.2 分式的加减"
126,"人教版-初中->八年级上->第十五章 分式->15.2 分式的运算->15.2.3整数指数幂",15.2.3整数指数幂
127,"人教版-初中->八年级上->第十五章 分式->15.3 分式方程","15.3 分式方程"
130,"人教版-初中-> 八年级下->第十六章 二次根式->16.1 二次根式","16.1 二次根式"
131,"人教版-初中-> 八年级下->第十六章 二次根式->16.2 二次根式的乘除","16.2 二次根式的乘除"
132,"人教版-初中-> 八年级下->第十六章 二次根式->16.3 二次根式的加减","16.3 二次根式的加减"
134,"人教版-初中-> 八年级下->第十七章 勾股定理->17.1 勾股定理","17.1 勾股定理"
135,"人教版-初中-> 八年级下->第十七章 勾股定理->17.2 勾股定理的逆定理","17.2 勾股定理的逆定理"
138,"人教版-初中-> 八年级下->第十八章 平行四边形->18.1 平行四边形->18.1.1 平行四边形","18.1.1 平行四边形"
139,"人教版-初中-> 八年级下->第十八章 平行四边形->18.1 平行四边形->18.1.2 平行四边形的判定","18.1.2 平行四边形的判定"
141,"人教版-初中-> 八年级下->第十八章 平行四边形->18.2 特殊的平行四边形->18.2.1 矩形","18.2.1 矩形"
142,"人教版-初中-> 八年级下->第十八章 平行四边形->18.2 特殊的平行四边形->18.2.2 菱形","18.2.2 菱形"
143,"人教版-初中-> 八年级下->第十八章 平行四边形->18.2 特殊的平行四边形->18.2.3 正方形","18.2.3 正方形"
146,"人教版-初中-> 八年级下->第十九章 一次函数->19.1 函数->19.1.1 变量与函数","19.1.1 变量与函数"
147,"人教版-初中-> 八年级下->第十九章 一次函数->19.1 函数->19.1.2 函数的图象","19.1.2 函数的图象"
149,"人教版-初中-> 八年级下->第十九章 一次函数->19.2 一次函数->19.2.1 正比例函数","19.2.1 正比例函数"
150,"人教版-初中-> 八年级下->第十九章 一次函数->19.2 一次函数->19.2.2 一次函数","19.2.2 一次函数"
151,"人教版-初中-> 八年级下->第十九章 一次函数->19.2 一次函数->19.2.3 一次函数与方程、不等式","19.2.3 一次函数与方程、不等式"
152,"人教版-初中-> 八年级下->第十九章 一次函数->19.3 课题学习 选择方案","19.3 课题学习 选择方案"
155,"人教版-初中-> 八年级下->第二十章 数据的分析->20.1 数据的集中趋势->20.1.1 平均数","20.1.1 平均数"
156,"人教版-初中-> 八年级下->第二十章 数据的分析->20.1 数据的集中趋势->20.1.2 中位数和众数","20.1.2 中位数和众数"
157,"人教版-初中-> 八年级下->第二十章 数据的分析->20.2 数据的波动程度","20.2 数据的波动程度"
158,"人教版-初中-> 八年级下->第二十章 数据的分析->20.3 课题学习 体质健康测试中的数据分析","20.3 课题学习 体质健康测试中的数据分析"
161,"人教版-初中->九年级上->第二十一章 一元二次方程->21.1 一元二次方程","21.1 一元二次方程"
163,"人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.1 配方法","21.2.1 配方法"
164,"人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.2 公式法","21.2.2 公式法"
165,"人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.3 因式分解法","21.2.3 因式分解法"
166,"人教版-初中->九年级上->第二十一章 一元二次方程->21.2 解一元二次方程->21.2.4 一元二次方程的根与系数的关系","21.2.4 一元二次方程的根与系数的关系"
167,"人教版-初中->九年级上->第二十一章 一元二次方程->21.3 实际问题与一元二次方程","21.3 实际问题与一元二次方程"
170,"人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.1 二次函数","22.1.1 二次函数"
171,"人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.2 二次函数y=ax^2的图象和性质","22.1.2 二次函数y=ax^2的图象和性质"
172,"人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.3 二次函数y=a(x-h)^2+k的图象和性质","22.1.3 二次函数y=a(x-h)^2+k的图象和性质"
173,"人教版-初中->九年级上->第二十二章 二次函数->22.1 二次函数的图象和性质->22.1.4 二次函数y=a^2+bx+c的图象和性质","22.1.4 二次函数y=a^2+bx+c的图象和性质"
174,"人教版-初中->九年级上->第二十二章 二次函数->22.2 二次函数与一元二次方程","22.2 二次函数与一元二次方程"
175,"人教版-初中->九年级上->第二十二章 二次函数->22.3 实际问题与二次函数","22.3 实际问题与二次函数"
177,"人教版-初中->九年级上->第二十三章 旋转->23.1 图形的旋转","23.1 图形的旋转"
179,"人教版-初中->九年级上->第二十三章 旋转->23.2 中心对称->23.2.1 中心对称","23.2.1 中心对称"
180,"人教版-初中->九年级上->第二十三章 旋转->23.2 中心对称->23.2.2 中心对称图形","23.2.2 中心对称图形"
181,"人教版-初中->九年级上->第二十三章 旋转->23.2 中心对称->23.2.3 关于原点对称的点的坐标","23.2.3 关于原点对称的点的坐标"
182,"人教版-初中->九年级上->第二十三章 旋转->23.3 课题学习 图案设计","23.3 课题学习 图案设计"
185,"人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.1 圆","24.1.1 圆"
186,"人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.2 垂直于弦的直径","24.1.2 垂直于弦的直径"
187,"人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.3 弧、弦、圆心角","24.1.3 弧、弦、圆心角"
188,"人教版-初中->九年级上->第二十四章 圆->24.1 圆的有关性质->24.1.4 圆周角","24.1.4 圆周角"
190,"人教版-初中->九年级上->第二十四章 圆->24.2 点和圆、直线和圆的位置关系->24.2.1 点和圆的位置关系","24.2.1 点和圆的位置关系"
191,"人教版-初中->九年级上->第二十四章 圆->24.2 点和圆、直线和圆的位置关系->24.2.2 直线和圆的位置关系","24.2.2 直线和圆的位置关系"
192,"人教版-初中->九年级上->第二十四章 圆->24.3 正多边形和圆","24.3 正多边形和圆"
193,"人教版-初中->九年级上->第二十四章 圆->24.4 弧长和扇形面积","24.4 弧长和扇形面积"
196,"人教版-初中->九年级上->第二十五章 概率初步->25.1 随机事件与概率->25.1.1 随机事件","25.1.1 随机事件"
197,"人教版-初中->九年级上->第二十五章 概率初步->25.1 随机事件与概率->25.1.2 概率","25.1.2 概率"
198,"人教版-初中->九年级上->第二十五章 概率初步->25.2 用列举法求概率","25.2 用列举法求概率"
199,"人教版-初中->九年级上->第二十五章 概率初步->25.3 用频率估计概率","25.3 用频率估计概率"
203,"人教版-初中->九年级下->第二十六章 反比例函数->26.1 反比例函数->26.1.1 反比例函数","26.1.1 反比例函数"
204,"人教版-初中->九年级下->第二十六章 反比例函数->26.1 反比例函数->26.1.2 反比例函数的图像和性质","26.1.2 反比例函数的图像和性质"
205,"人教版-初中->九年级下->第二十六章 反比例函数->26.2 实际问题与反比例函数","26.2 实际问题与反比例函数"
207,"人教版-初中->九年级下->第二十七章 相似->27.1 图形的相似","27.1 图形的相似"
