教材版本,年级,章,节,小节
,九年级下,第5章 二次函数,5.1 二次函数,
,,,5.2 二次函数的图像和性质,
,,,5.3 用待定系数法确定二次函数表达式,
,,,5.4 二次函数与一元二次方程,
,,,5.5 用二次函数解决问题,
,,第6章 图形的相似,6.1 图上距离与实际距离,
,,,6.2 黄金分割,
,,,6.3 相似图形,
,,,6.4 探索三角形相似的条件,
,,,6.5 相似三角形的性质,
,,,6.6 图形的位似,
,,,6.7 用相似三角形解决问题,
,,第7章锐角三角函数,7.1 正切,
,,,7.2 正弦、余弦,
,,,7.3 特殊角的三角函数,
,,第8章 统计和概率的简单应用,8.1 中学生的视力情况调查,
,,,8.2 货比三家,
,,,8.3 统计分析帮你做预测,
,,,8.4 抽签方法合理吗,
,,,8.5 概率帮你做估计,
,,,8.6 收取多少保险费才合理,
沪教版-初中,六年级上,第一章 数的整除,第1节 整数和整除,1.1 整数与整除的意义
,,,,1.2 因数与倍数
,,,,1.3 能被2，5整除的数
,,,第2节 分解素因数,1.4 素数、合数与分解素因数
,,,,1.5 公因数与最大公因数
,,,,1.6 公倍数与最小公倍数
,,第二章 分数,第1节 分数的意义和性质,2.1 分数与除法
,,,,2.2 分数的基本性质
,,,,2.3 分数的大小比较
,,,第2节 分数的运算,2.4 分数的加减法
,,,,2.5 分数的乘法
,,,,2.6 分数的除法
,,,,2.7 分数与小数的互化
,,,,拓展 无限循环小数与分数的互化
,,,,2.8 分数、小数的四则混和运算
,,,,2.9 分数运算的应用
,,第三章 比和比例,第1节 比和比例,3.1 比的意义
,,,,3.2 比的基本性质
,,,,3.3 比例
,,,第2节 百分比,3.4 百分比的意义
,,,,3.5 百分比的应用
,,,,3.6 等可能事件
,,第四章 圆和扇形,第1节 圆的周长和弧长,4.1 圆的周长
,,,,4.2 弧长
,,,第2节 圆和扇形的面积,4.3 圆的面积
,,,,4.4 扇形的面积
,六年级下,第五章 有理数,第一节 有理数,5.1 有理数的意义
,,,,5.2 数轴
,,,,5.3 绝对值
,,,第二节 有理数的运算,5.4 有理数的加法
,,,,5.5 有理数的减法
,,,,5.6 有理数的乘法
,,,,5.7 有理数的除法
,,,,5.8 有理数的乘方
,,,,5.9 有理数的混和运算
,,,,5.10 科学记数法
,,第六章 一次方程（组）和一次不等式（组）,第1节 方程与方程的解,6.1 列方程
,,,,6.2 方程的解
,,,第2节 一元一次方程,6.3 一元一次方程及其解法
,,,,6.4 一元一次方程的应用
,,,第3节 一元一次不等式（组）,6.5 不等式及其性质
,,,,6.6一元一次不等式的解法
,,,,6.7 一元一次不等式组
,,,第4节 一次方程组,6.8 二元一次方程
,,,,6.9 二元一次方程组及其解法
,,,,6.10 三元一次方程组及其解法
,,第七章 线段与角的画法,第1节 线段的相等与和、差、倍,7.1 线段的大小的比较
,,,,7.2 画线段的和、差、倍
,,,第2节 角,7.3 角的概念及表示
,,,,7.4 角的大小的比较、画相等的角
,,,,7.5 画角的和、差、倍
,,,,7.6 余角、补角
,,第八章 长方体的再认识,第1节 长方体的元素,
,,,第2节 长方体直观图的画法,
,,,第3节 长方体中棱与棱位置关系的认识,
,,,第4节 长方体中棱与平面位置关系的认识,
,七年级上,第九章 整式,第1节 整式,9.1 字母表示数
,,,,9.2 代数式
,,,,9.3 代数式的值
,,,,9.4 整式
,,,第2节 整式的加减,9.5 合并同类项
,,,,9.6 整式的加减
,,,第3节 整式的乘法,9.7 同底数幂的乘法
,,,,9.8 幂的乘方
,,,,9.9 积的乘方
,,,,9.10 整式的乘法
,,,第4节 乘法公式,9.11 平方差公式 
,,,,9.12 完全平方公式
